 2020-04-20 13:37:50,322:  1.0% :100
 2020-04-20 13:37:50,325:  1.0% :100
 2020-04-20 13:37:50,328:  1.0% :100
 2020-04-20 13:37:50,330:  1.0% :100
 2020-04-20 13:37:50,333:  1.0% :100
 2020-04-20 13:37:50,336:  1.0% :100
 2020-04-20 13:37:50,338:  1.0% :100
 2020-04-20 13:37:50,341:  1.0% :100
 2020-04-20 13:37:50,344:  1.0% :100
 2020-04-20 13:37:50,347:  1.0% :100
 2020-04-20 13:37:50,349:  1.0% :100
 2020-04-20 13:37:50,352:  1.0% :100
 2020-04-20 13:37:50,355:  1.0% :100
 2020-04-20 13:37:50,357:  1.0% :100
 2020-04-20 13:37:50,360:  1.0% :100
 2020-04-20 13:37:50,363:  1.0% :100
 2020-04-20 13:37:50,366:  1.0% :100
 2020-04-20 13:37:50,368:  1.0% :100
 2020-04-20 13:37:50,371:  1.0% :100
 2020-04-20 13:37:50,374:  1.0% :100
 2020-04-20 13:37:50,376:  1.0% :100
 2020-04-20 13:37:50,379:  1.0% :100
 2020-04-20 13:37:50,382:  1.0% :100
 2020-04-20 13:37:50,384:  1.0% :100
 2020-04-20 13:37:50,387:  1.0% :100
 2020-04-20 13:37:50,390:  1.0% :100
 2020-04-20 13:37:50,392:  1.0% :100
 2020-04-20 13:37:50,395:  1.0% :100
 2020-04-20 13:37:50,398:  1.0% :100
 2020-04-20 13:37:50,400:  1.0% :100
 2020-04-20 13:37:50,403:  1.0% :100
 2020-04-20 13:37:50,406:  1.0% :100
 2020-04-20 13:37:50,409:  1.0% :100
 2020-04-20 13:37:50,411:  1.0% :100
 2020-04-20 13:37:50,414:  1.0% :100
 2020-04-20 13:37:50,417:  1.0% :100
 2020-04-20 13:37:50,419:  1.0% :100
 2020-04-20 13:37:50,422:  1.0% :100
 2020-04-20 13:37:50,425:  1.0% :100
 2020-04-20 13:37:50,427:  1.0% :100
 2020-04-20 13:37:50,430:  1.0% :100
 2020-04-20 13:37:50,433:  1.0% :100
 2020-04-20 13:37:50,435:  1.0% :100
 2020-04-20 13:37:50,438:  1.0% :100
 2020-04-20 13:37:50,441:  1.0% :100
 2020-04-20 13:37:50,444:  1.0% :100
 2020-04-20 13:37:50,446:  1.0% :100
 2020-04-20 13:37:50,449:  1.0% :100
 2020-04-20 13:37:50,452:  1.0% :100
 2020-04-20 13:37:50,455:  1.0% :100
 2020-04-20 13:37:50,458:  1.0% :100
 2020-04-20 13:37:50,461:  1.0% :100
 2020-04-20 13:37:50,464:  1.0% :100
 2020-04-20 13:37:50,466:  1.0% :100
 2020-04-20 13:37:50,469:  1.0% :100
 2020-04-20 13:37:50,472:  1.0% :100
 2020-04-20 13:37:50,474:  1.0% :100
 2020-04-20 13:37:50,477:  1.0% :100
 2020-04-20 13:37:50,481:  1.0% :100
 2020-04-20 13:37:50,484:  1.0% :100
 2020-04-20 13:37:50,487:  1.0% :100
 2020-04-20 13:37:50,490:  1.0% :100
 2020-04-20 13:37:50,492:  1.0% :100
 2020-04-20 13:37:50,495:  1.0% :100
 2020-04-20 13:37:50,498:  1.0% :100
 2020-04-20 13:37:50,501:  1.0% :100
 2020-04-20 13:37:50,503:  1.0% :100
 2020-04-20 13:37:50,506:  1.0% :100
 2020-04-20 13:37:50,509:  1.0% :100
 2020-04-20 13:37:50,511:  1.0% :100
 2020-04-20 13:37:50,514:  1.0% :100
 2020-04-20 13:37:50,517:  1.0% :100
 2020-04-20 13:37:50,519:  1.0% :100
 2020-04-20 13:37:50,522:  1.0% :100
 2020-04-20 13:37:50,525:  1.0% :100
 2020-04-20 13:37:50,528:  1.0% :100
 2020-04-20 13:37:50,530:  1.0% :100
 2020-04-20 13:37:50,534:  1.0% :100
